id,id_auction,id_user,price
12f5150b-f18d-44e7-a565-6636dcc99849,483bb7ab-3e7f-497e-9a59-02cf238d97f9,6efd1a41-9ecc-44d0-bec3-9856e7e77e10,25000.0 RON
12f5150b-f18d-44e7-a565-6636dcc99849,64d5c5fc-7066-43e2-aa1b-5a8316d08c19,6efd1a41-9ecc-44d0-bec3-9856e7e77e10,25000.0 RON
12f5150b-f18d-44e7-a565-6636dcc99849,0d3b303c-10ad-4121-a352-f7fe936f140c,6efd1a41-9ecc-44d0-bec3-9856e7e77e10,25000.0 RON
12f5150b-f18d-44e7-a565-6636dcc99849,b99f297a-4ad0-4105-ad14-ca3250666038,6efd1a41-9ecc-44d0-bec3-9856e7e77e10,25000.0 RON
12f5150b-f18d-44e7-a565-6636dcc99849,4f51ffe2-6cd0-47d6-9ad5-ef370faad42e,6efd1a41-9ecc-44d0-bec3-9856e7e77e10,25000.0 RON
12f5150b-f18d-44e7-a565-6636dcc99849,bed7e65f-fd78-4d31-8548-f893ee191c45,6efd1a41-9ecc-44d0-bec3-9856e7e77e10,25000.0 RON
12f5150b-f18d-44e7-a565-6636dcc99849,483bb7ab-3e7f-497e-9a59-02cf238d97f9,6efd1a41-9ecc-44d0-bec3-9856e7e77e10,25000.0 RON
12f5150b-f18d-44e7-a565-6636dcc99849,64d5c5fc-7066-43e2-aa1b-5a8316d08c19,6efd1a41-9ecc-44d0-bec3-9856e7e77e10,25000.0 RON
12f5150b-f18d-44e7-a565-6636dcc99849,0d3b303c-10ad-4121-a352-f7fe936f140c,6efd1a41-9ecc-44d0-bec3-9856e7e77e10,25000.0 RON
12f5150b-f18d-44e7-a565-6636dcc99849,b99f297a-4ad0-4105-ad14-ca3250666038,6efd1a41-9ecc-44d0-bec3-9856e7e77e10,25000.0 RON
12f5150b-f18d-44e7-a565-6636dcc99849,4f51ffe2-6cd0-47d6-9ad5-ef370faad42e,6efd1a41-9ecc-44d0-bec3-9856e7e77e10,25000.0 RON
12f5150b-f18d-44e7-a565-6636dcc99849,bed7e65f-fd78-4d31-8548-f893ee191c45,6efd1a41-9ecc-44d0-bec3-9856e7e77e10,25000.0 RON
12f5150b-f18d-44e7-a565-6636dcc99849,483bb7ab-3e7f-497e-9a59-02cf238d97f9,6efd1a41-9ecc-44d0-bec3-9856e7e77e10,25000.0 RON
12f5150b-f18d-44e7-a565-6636dcc99849,64d5c5fc-7066-43e2-aa1b-5a8316d08c19,6efd1a41-9ecc-44d0-bec3-9856e7e77e10,25000.0 RON
12f5150b-f18d-44e7-a565-6636dcc99849,0d3b303c-10ad-4121-a352-f7fe936f140c,6efd1a41-9ecc-44d0-bec3-9856e7e77e10,25000.0 RON
12f5150b-f18d-44e7-a565-6636dcc99849,b99f297a-4ad0-4105-ad14-ca3250666038,6efd1a41-9ecc-44d0-bec3-9856e7e77e10,25000.0 RON
12f5150b-f18d-44e7-a565-6636dcc99849,4f51ffe2-6cd0-47d6-9ad5-ef370faad42e,6efd1a41-9ecc-44d0-bec3-9856e7e77e10,25000.0 RON
12f5150b-f18d-44e7-a565-6636dcc99849,bed7e65f-fd78-4d31-8548-f893ee191c45,6efd1a41-9ecc-44d0-bec3-9856e7e77e10,25000.0 RON
12f5150b-f18d-44e7-a565-6636dcc99849,483bb7ab-3e7f-497e-9a59-02cf238d97f9,6efd1a41-9ecc-44d0-bec3-9856e7e77e10,25000.0 RON
12f5150b-f18d-44e7-a565-6636dcc99849,64d5c5fc-7066-43e2-aa1b-5a8316d08c19,6efd1a41-9ecc-44d0-bec3-9856e7e77e10,25000.0 RON
12f5150b-f18d-44e7-a565-6636dcc99849,0d3b303c-10ad-4121-a352-f7fe936f140c,6efd1a41-9ecc-44d0-bec3-9856e7e77e10,25000.0 RON
12f5150b-f18d-44e7-a565-6636dcc99849,b99f297a-4ad0-4105-ad14-ca3250666038,6efd1a41-9ecc-44d0-bec3-9856e7e77e10,25000.0 RON
12f5150b-f18d-44e7-a565-6636dcc99849,4f51ffe2-6cd0-47d6-9ad5-ef370faad42e,6efd1a41-9ecc-44d0-bec3-9856e7e77e10,25000.0 RON
12f5150b-f18d-44e7-a565-6636dcc99849,bed7e65f-fd78-4d31-8548-f893ee191c45,6efd1a41-9ecc-44d0-bec3-9856e7e77e10,25000.0 RON
2ae40993-3e49-4841-9801-bc882f5fcdc2,a48f8a2d-f0d9-4e05-a89d-04b840ed274c,3911e340-cd8a-4070-b2ab-970a8e330892,220.0 RON
916f419a-5504-4140-b7dc-ddaa7d76781b,a48f8a2d-f0d9-4e05-a89d-04b840ed274c,c81840a1-7106-4c03-91f6-3ba2f8257784,150.0 RON
d7181467-7947-48f8-8843-b41fc0bf5b10,8d04f83e-f9ef-4385-afbc-e2163740e5ef,c428f4ea-1316-43e2-825a-b76308b61a0a,25000.0 RON
